City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
221,glens falls,US,2020-11-11 00:44:00,43.31,-73.64,57.99,87,1,5.82,clear sky
222,khani,GE,2020-11-11 00:44:31,41.96,42.96,51.8,100,75,3.36,broken clouds
223,souillac,MU,2020-11-11 00:44:32,-20.52,57.52,73.4,83,75,11.41,broken clouds
224,pangnirtung,CA,2020-11-11 00:44:32,66.15,-65.71,6.01,77,0,7.09,clear sky
225,hamilton,US,2020-11-11 00:43:55,39.18,-84.53,73.99,56,90,6.93,overcast clouds
226,camacha,PT,2020-11-11 00:44:32,33.08,-16.33,68.0,64,40,11.41,scattered clouds
227,eydhafushi,MV,2020-11-11 00:44:32,5.1,73.07,82.72,70,40,4.65,scattered clouds
228,ancud,CL,2020-11-11 00:44:32,-41.87,-73.82,59.0,72,0,2.24,clear sky
229,vila franca do campo,PT,2020-11-11 00:44:33,37.72,-25.43,60.8,82,75,24.16,broken clouds
230,westport,US,2020-11-11 00:42:38,41.14,-73.36,62.6,88,1,12.75,clear sky
231,steamboat springs,US,2020-11-11 00:44:33,40.48,-106.83,26.01,73,90,9.17,overcast clouds
232,gweta,BW,2020-11-11 00:44:33,-20.18,25.23,74.79,62,98,17.58,overcast clouds
233,portachuelo,BO,2020-11-11 00:44:33,-17.35,-63.4,77.0,83,75,8.05,broken clouds
234,husavik,IS,2020-11-11 00:44:33,66.04,-17.34,32.0,92,90,2.24,overcast clouds
235,pitimbu,BR,2020-11-11 00:44:34,-7.47,-34.81,75.2,83,75,13.87,broken clouds
236,north bend,US,2020-11-11 00:43:38,43.41,-124.22,50.0,93,75,9.17,broken clouds
237,esso,RU,2020-11-11 00:44:34,55.93,158.7,15.17,88,100,5.41,overcast clouds
238,marienburg,PL,2020-11-11 00:44:34,54.04,19.03,42.01,100,90,5.95,overcast clouds
239,yining,CN,2020-11-11 00:39:53,29.04,114.56,59.13,54,0,0.87,clear sky
240,acurenam,GQ,2020-11-11 00:44:35,1.03,10.65,66.42,97,2,1.83,clear sky
241,kruisfontein,ZA,2020-11-11 00:44:35,-34.0,24.73,55.99,95,0,3.18,clear sky
242,marzuq,YE,2020-11-11 00:44:35,14.4,46.47,61.99,64,0,2.17,clear sky
243,novikovo,RU,2020-11-11 00:44:35,51.15,37.89,34.57,85,71,4.88,broken clouds
244,nhulunbuy,AU,2020-11-11 00:44:35,-12.23,136.77,87.8,58,75,14.99,broken clouds
245,kharp,RU,2020-11-11 00:44:36,66.8,65.81,9.27,91,0,7.27,clear sky
246,bandarbeyla,SO,2020-11-11 00:44:36,9.49,50.81,75.45,84,18,11.83,few clouds
247,batman,TR,2020-11-11 00:44:36,37.89,41.13,48.2,100,0,1.28,mist
248,faya,SA,2020-11-11 00:44:36,18.39,42.45,59.0,93,0,2.28,clear sky
249,sa kaeo,TH,2020-11-11 00:44:36,13.75,102.33,69.91,79,81,8.84,broken clouds
250,kurgan,RU,2020-11-11 00:44:36,55.45,65.33,26.08,97,99,4.88,overcast clouds
251,belyy yar,RU,2020-11-11 00:44:37,53.6,91.39,30.2,74,0,11.18,clear sky
252,navolato,MX,2020-11-11 00:44:37,24.77,-107.69,80.6,42,20,9.17,few clouds
253,petukhovo,RU,2020-11-11 00:44:37,55.07,67.9,29.35,99,100,7.81,overcast clouds
254,churapcha,RU,2020-11-11 00:44:37,62.0,132.43,-7.17,90,85,3.09,overcast clouds
255,vanimo,PG,2020-11-11 00:44:37,-2.67,141.3,86.76,63,71,2.01,broken clouds
256,sambava,MG,2020-11-11 00:44:37,-14.27,50.17,72.88,85,6,7.87,clear sky
257,elko,US,2020-11-11 00:44:38,41.0,-115.5,35.6,59,90,9.17,overcast clouds
258,shenzhen,CN,2020-11-11 00:44:38,22.55,114.07,73.0,51,0,7.14,clear sky
259,tambun,ID,2020-11-11 00:44:38,-6.26,107.07,86.0,83,20,5.82,haze
260,mahenge,TZ,2020-11-11 00:44:38,-8.68,36.72,65.84,100,85,2.66,overcast clouds
261,asfi,MA,2020-11-11 00:44:38,32.3,-9.24,63.52,74,0,14.94,clear sky
262,chuy,UY,2020-11-11 00:44:39,-33.7,-53.46,60.39,88,66,9.22,broken clouds
263,yumen,CN,2020-11-11 00:44:39,40.28,97.2,30.6,68,0,3.11,clear sky
264,colares,PT,2020-11-11 00:44:39,38.8,-9.45,57.99,87,0,8.01,clear sky
265,hami,CN,2020-11-11 00:44:39,42.8,93.45,37.24,66,0,8.19,clear sky
266,daneasa,RO,2020-11-11 00:44:39,44.15,24.57,45.0,100,90,6.93,mist
267,sokoni,TZ,2020-11-11 00:44:39,-6.43,39.55,75.2,94,75,8.63,broken clouds
268,ibra,OM,2020-11-11 00:44:40,22.69,58.53,66.2,70,0,3.38,clear sky
